wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,syntag,syntag2,lemma,syllabified
385,90,2,pristrent,pristrent,1576,32,Vfin,Vfin,prendre,'C/V\.C/e\
386,90,3,congie,congie,1577,32,N,N,,C/V\.'C/V\
387,91,1,et,et,1604,32,Crd,Crd,et,/V\
388,91,2,alarz,alarz,1605,32,N,N,,/V\.'C/V\
389,91,3,makeriaus,makeriaus,1606,32,N,N,,C/V\.C/e\.'C/V\
390,92,1,si,si,1607,32,Adv,Adv,si4,C/V\
391,92,2,s,s,1608,32,Prn,Prn$$,se,C/\
392,92,3,en,en,1609,32,Prn,Prn$$,en2,/V\
393,92,4,alerent,alerent,1610,32,Vfin,Vfin,aller,/V\.'C/V\.C/e\
394,92,5,droit,droit,1611,32,Adv,Adv,droit2,C/V\
395,93,1,por,por,1625,32,Pre,Pre,pour,C/V\
396,93,2,savoir,savoir,1626,32,Vinf,Vinf,savoir,C/V\.'C/V\
397,93,3,quele,quele,1627,32,Qux,Qux,quel,'C/V\.C/(e)\
398,93,4,aie,aïe,1628,32,N,N,,/V\.'C/V\./(e)\
399,94,1,si,si,1644,33,Adv,Adv,si4,C/V\
400,94,2,encontra,encontra,1645,33,Vfin,Vfin,encontrer,/V\.C/V\.'C/V\
401,94,3,le,le,1646,33,Det,Det,le,C/(e)\
402,94,4,conte,conte,1647,33,N,N,,'C/V\.C/(e)\
403,95,1,qui,qui,1651,33,Qux,Qux,qui,C/V\
404,95,2,s,s,1652,33,Prn,Prn$$,se,C/\
405,95,3,en,en,1653,33,Prn,Prn$$,en2,/V\
406,95,4,aloit,aloit,1654,33,Vfin,Vfin,aller,/V\.'C/V\
407,95,5,en,en,1655,33,Pre,Pre,en,/V\
408,95,6,puile,puile,1656,33,N,N,,'C/V\.C/(e)\
409,96,1,puisque,puisque,1666,33,Sub,Sub,puisque,'C/V\.C/(e)\
410,96,2,il,il,1667,33,Prn,Prn$,il,/V\
411,96,3,ot,ot,1668,33,Vfin,Vfin,avoir,/V\
412,96,4,la,la,1669,33,Det,Det,le,C/V\
413,96,5,croiz,croiz,1670,33,N,N,,C/V\
414,96,6,prise,prise,1671,33,Vpp,Vpp,prendre,'C/V\.C/(e)\
415,97,1,de,de,1688,33,Pre,Pre,de,C/(e)\
416,97,2,covelans,covelans,1689,33,N,N,,C/V\.C/e\.'C/V\
417,97,3,roberz,roberz,1690,33,N,N,,C/V\.'C/V\
418,98,1,en,en,1716,34,Prn,Prn$$,en2,/V\
419,98,2,firent,firent,1717,34,Vfin,Vfin,faire,'C/V\.C/e\
420,98,3,mult,mult,1718,34,QIs,QIs,moult,C/V\
421,98,4,grant,grant,1719,34,Adj,Adj,grand,C/V\
422,98,5,joie,joie,1720,34,N,N,,'C/V\./(e)\
423,99,1,nos,nos,1730,34,Prn,Prn$,nous,C/V\
424,99,2,somes,somes,1731,34,Vfin,Vfin,être,'C/V\.C/e\
425,99,3,ja,ja,1732,34,Adv,Adv,jà,C/V\
426,99,4,meu,meü,1733,34,Vpp,Vpp,mouvoir,C/(V)\.'/V\
427,100,1,ne,ne,1752,34,Crd,Crd,ne2,C/(e)\
428,100,2,n,n,1753,34,Neg,Neg$$,ne,C/\
429,100,3,orent,orent,1754,34,Vfin,Vfin,avoir,'/V\.C/e\
430,100,4,nul,nul,1755,34,QIs,QIs,nul,C/V\
431,100,5,pooir,pooir,1756,34,N,N,pouvoir,C/V\.'C/V\
432,101,1,ce,ce,1763,34,Prn,Prn,ce,C/(e)\
433,101,2,fu,fu,1764,34,Vfin,Vfin,être,C/V\
434,101,3,mult,mult,1765,34,QIs,QIs,moult,C/V\
435,101,4,granz,granz,1766,34,Adj,Adj,grand,C/V\
436,101,5,domages,domages,1767,34,N,N,,C/V\.'C/V\.C/e\
437,102,1,que,que,1768,34,Crd,Crd,que,C/(e)\
438,102,2,mult,mult,1769,34,QIs,QIs,moult,C/V\
439,102,3,estoient,estoient,1770,34,Vfin,Vfin,être,/V\.'C/V\./e\
440,102,4,preu,preu,1771,34,Adj,Adj,preux,C/V\
441,103,1,et,et,1774,34,Crd,Crd,et,/V\
442,103,2,ensi,ensi,1775,34,Adv,Adv,ainsi,/V\.'C/V\
443,103,3,se,se,1776,34,Prn,Prn$$,se,C/(e)\
444,103,4,partirent,partirent,1777,34,Vfin,Vfin,partir,C/V\.'C/V\.C/e\
445,104,1,si,si,1778,34,Adv,Adv,si4,C/V\
446,104,2,tint,tint,1779,34,Vfin,Vfin,tenir,C/V\
447,104,3,cascuns,cascuns,1780,34,QIs,QIs,chacun,C/V\.'C/V\
448,104,4,sa,sa,1781,34,Det,Det,son4,C/V\
449,104,5,voie,voie,1782,34,N,N,,'C/V\./(e)\
450,105,1,malade,malade,1805,35,Adj,Adj,,C/V\.'C/V\.C/(e)\
451,105,2,et,et,1806,35,Crd,Crd,et,/V\
452,105,3,deshaitié,deshaitié,1807,35,Vpp,Vpp,,C/V\.C/V\.'C/V\
453,106,1,alas,alas,1850,35,Exc,Exc,,/V\.'C/V\
454,106,2,com,com,1851,35,Sub,Sub,comme,C/V\
455,106,3,grant,grant,1852,35,Adj,Adj,grand,C/V\
456,106,4,domages,domages,1853,35,N,N,,C/V\.'C/V\.C/e\
457,107,1,que,que,1880,36,Qux,Qux,que,C/(e)\
458,107,2,il,il,1881,36,Prn,Prn$,il,/V\
459,107,3,devoit,devoit,1882,36,Vfin,Vfin,devoir2,C/V\.'C/V\
460,107,4,porter,porter,1883,36,Vinf,Vinf,porter,C/V\.'C/V\
461,108,1,et,et,1887,36,Crd,Crd,et,/V\
462,108,2,a,a,1888,36,Pre,Pre,à,/V\
463,108,3,ses,ses,1889,36,Det,Det,son4,C/V\
464,108,4,compaignons,compaignons,1890,36,N,N,,C/V\.C/V\.'C/V\
465,109,1,de,de,1922,36,Pre,Pre,de,C/(e)\
466,109,2,venise,venise,1923,36,N,N,,C/V\.'C/V\.C/(e)\
467,109,3,a,a,1924,36,Pre,Pre,à,/V\
468,109,4,tenir,tenir,1925,36,Vinf,Vinf,tenir,C/V\.'C/V\
469,110,1,et,et,1957,36,Crd,Crd,et,/V\
470,110,2,por,por,1958,36,Pre,Pre,pour,C/V\
471,110,3,porter,porter,1959,36,Vinf,Vinf,porter,C/V\.'C/V\
472,110,4,en,en,1960,36,Pre,Pre,en,/V\
473,110,5,l,l,1961,36,Det,Det,le,C/\
474,110,6,ost,ost,1962,36,N,N,,/V\
475,111,1,ensi,ensi,1974,37,Adv,Adv,ainsi,/V\.'C/V\
476,111,2,morut,morut,1975,37,Vfin,Vfin,mourir,C/V\.'C/V\
477,111,3,li,li,1976,37,Det,Det,le,C/V\
478,111,4,quens,quens,1977,37,N,N,,C/V\
479,112,1,qui,qui,1985,37,Qux,Qux,qui,C/V\
480,112,2,fist,fist,1986,37,Vfin,Vfin,faire,C/V\
481,112,3,plus,plus,1987,37,Adv,Adv,plus,C/V\
482,112,4,bele,bele,1988,37,Adj,Adj,beau,'C/V\.C/(e)\
483,112,5,fin,fin,1989,37,N,N,,C/V\
484,113,1,enki,enki,1990,37,Adv,Adv,encui,/V\.'C/V\
485,113,2,ot,ot,1991,37,Vfin,Vfin,avoir,/V\
486,113,3,mult,mult,1992,37,QIs,QIs,moult,C/V\
487,113,4,grant,grant,1993,37,Adj,Adj,grand,C/V\
488,113,5,pueple,pueple,1994,37,N,N,,'C/V\.C/(e)\
489,114,1,et,et,2023,37,Crd,Crd,et,/V\
490,114,2,il,il,2024,37,Prn,Prn$,il,/V\
491,114,3,le,le,2025,37,Prn,Prn$$,le,C/(e)\
492,114,4,dut,dut,2026,37,Vfin,Vfin,devoir2,C/V\
493,114,5,bien,bien,2027,37,Adv,Adv,bien,C/V\
494,114,6,estre,estre,2028,37,Vinf,Vinf,être,'/V\.C/(e)\
495,115,1,qui,qui,2107,38,Qux,Qux,qui,C/V\
496,115,2,ere,ere,2108,38,Vfin,Vfin,être,'/V\.C/(e)\
497,115,3,seneschaus,seneschaus,2109,38,N,N,,C/V\.C/V\.'C/V\
498,116,1,alerent,alerent,2114,38,Vfin,Vfin,aller,/V\.'C/V\.C/e\
499,116,2,al,al,2115,38,Pre+Det,Pre+Det,à.le,/V\
500,116,3,duc,duc,2116,38,N,N,,C/V\
501,116,4,oedon,oedon,2117,38,N,N,,'/V\.C/e\
502,117,1,que,que,2143,38,Sub,Sub,que,C/(e)\
503,117,2,tu,tu,2144,38,Prn,Prn$,tu,C/V\
504,117,3,preignes,preignes,2145,38,Vfin,Vfin,prendre,'C/V\.C/e\
505,117,4,la,la,2146,38,Det,Det,le,C/V\
506,117,5,croiz,croiz,2147,38,N,N,,C/V\
507,118,1,telx,telx,2190,39,Adj,Adj,tel,C/V\
508,118,2,fu,fu,2191,39,Vfin,Vfin,être,C/V\
509,118,3,sa,sa,2192,39,Det,Det,son4,C/V\
510,118,4,volente,volenté,2193,39,N,N,,C/V\.C/V\.'C/V\
511,119,1,joffroi,joffroi,2204,39,N,N,,C/V\.'C/V\
512,119,2,de,de,2205,39,Pre,Pre,de,C/(e)\
513,119,3,juhenvile,juhenvile,2206,39,N,N,,C/V\.C/V\.'C/V\.C/(e)\
514,120,1,cargierent,cargierent,2207,39,Vfin,Vfin,,C/V\.'C/V\.C/e\
515,120,2,le,le,2208,39,Det,Det,le,C/(e)\
516,120,3,message,message,2209,39,N,N,,C/V\.'C/V\.C/(e)\
517,121,1,mult,mult,2230,40,QIs,QIs,moult,C/V\
518,121,2,fu,fu,2231,40,Vfin,Vfin,être,C/V\
519,121,3,granz,granz,2232,40,Adj,Adj,grand,C/V\
520,121,4,desconforz,desconforz,2233,40,N,N,,C/V\.C/V\.'C/V\
521,122,1,a,a,2262,40,Pre,Pre,à,/V\
522,122,2,seissons,seissons,2263,40,N,N,,C/V\.'C/V\
523,122,3,por,por,2264,40,Pre,Pre,pour,C/V\
524,122,4,savoir,savoir,2265,40,Vinf,Vinf,savoir,C/V\.'C/V\
525,123,1,que,que,2266,40,Qux,Qux,que,C/(e)\
526,123,2,il,il,2267,40,Prn,Prn$,il,/V\
527,123,3,porroient,porroient,2268,40,Vfin,Vfin,pouvoir2,C/V\.'C/V\./e\
528,123,4,faire,faire,2269,40,Vinf,Vinf,faire,'C/V\.C/(e)\
529,124,1,de,de,2283,40,Pre,Pre,de,C/(e)\
530,124,2,blois,blois,2284,40,N,N,,C/V\
531,124,3,et,et,2285,40,Crd,Crd,et,/V\
532,124,4,de,de,2286,40,Pre,Pre,de,C/(e)\
533,124,5,chartain,chartain,2287,40,N,N,,C/V\.'C/V\
534,125,1,li,li,2288,40,Det,Det,le,C/V\
535,125,2,cuens,cuens,2289,40,N,N,,C/V\
536,125,3,joffrois,joffrois,2290,40,N,N,,C/V\.'C/V\
537,125,4,del,del,2291,40,Pre+Det,Pre+Det,de.le,C/V\
538,125,5,perche,perche,2292,40,N,N,,'C/V\.C/(e)\
539,126,1,del,del,2291,40,Pre+Det,Pre+Det,de.le,C/V\
540,126,2,perche,perche,2292,40,N,N,,'C/V\.C/(e)\
541,126,3,li,li,2293,40,Det,Det,le,C/V\
542,126,4,cuens,cuens,2294,40,N,N,,C/V\
543,126,5,hues,hues,2295,40,N,N,,'C/V\./e\
544,127,1,et,et,2299,40,Crd,Crd,et,/V\
545,127,2,maint,maint,2300,40,QIs,QIs,maint,C/V\
546,127,3,autre,autre,2301,40,Adj,Adj,autre,'/V\.C/(e)\
547,127,4,preudome,preudome,2302,40,N,N,,C/V\.'C/V\.C/(e)\
548,128,1,joffrois,joffrois,2303,41,N,N,,C/V\.'C/V\
549,128,2,li,li,2304,41,Det,Det,le,C/V\
550,128,3,mareschaus,mareschaus,2305,41,N,N,,C/V\.C/V\.'C/V\
551,129,1,lor,lor,2306,41,Prn,Prn$$,leur,C/V\
552,129,2,mostra,mostra,2307,41,Vfin,Vfin,montrer,C/V\.'C/V\
553,129,3,la,la,2308,41,Det,Det,le,C/V\
554,129,4,parole,parole,2309,41,N,N,,C/V\.'C/V\.C/(e)\
555,130,1,que,que,2313,41,Qux,Qux,que,C/(e)\
556,130,2,il,il,2314,41,Prn,Prn$,il,/V\
557,130,3,avoient,avoient,2315,41,Vfin,Vfin,avoir,/V\.'C/V\./e\
558,130,4,faite,faite,2316,41,Vpp,Vpp,faire,'C/V\.C/(e)\
559,131,1,de,de,2319,41,Pre,Pre,de,C/(e)\
560,131,2,borgoigne,borgoigne,2320,41,N,N,,C/V\.'C/V\.C/(e)\
561,131,3,et,et,2321,41,Crd,Crd,et,/V\
562,131,4,le,le,2322,41,Det,Det,le,C/(e)\
563,131,5,conte,conte,2323,41,N,N,,'C/V\.C/(e)\
564,132,1,se,se,2344,41,Sub,Sub,si3,C/(e)\
565,132,2,vos,vos,2345,41,Prn,Prn$$,vous,C/V\
566,132,3,i,i,2346,41,Prn,Prn$$,y2,/V\
567,132,4,acordez,acordez,2347,41,Vfin,Vfin,,/V\.C/V\.'C/V\
568,133,1,li,li,2348,41,Det,Det,le,C/V\
569,133,2,marchis,marchis,2349,41,N,N,,C/V\.'C/V\
570,133,3,bonifaces,bonifaces,2350,41,N,N,,C/V\.C/V\.'C/V\.C/e\
571,134,1,et,et,2356,41,Crd,Crd,et,/V\
572,134,2,un,un,2357,41,QIs,QIs,un,/V\
573,134,3,des,des,2358,41,Pre+Det,Pre+Det,de.le,C/V\
574,134,4,plus,plus,2359,41,Adv,Adv,plus,C/V\
575,134,5,proisiez,proisiez,2360,41,Vpp,Vpp,priser,C/V\.'C/V\
576,135,1,et,et,2381,41,Crd,Crd,et,/V\
577,135,2,se,se,2382,41,Prn,Prn$$,se,C/(e)\
578,135,3,meist,meist,2383,41,Vfin,Vfin,mettre,C/(V)\.'/V\
579,135,4,el,el,2384,41,Pre+Det,Pre+Det,en.le,/V\
580,135,5,leu,leu,2385,41,N,N,,C/V\
581,136,1,le,le,2386,41,Det,Det,le,C/(e)\
582,136,2,conte,conte,2387,41,N,N,,'C/V\.C/(e)\
583,136,3,de,de,2388,41,Pre,Pre,de,C/(e)\
584,136,4,campaigne,campaigne,2389,41,N,N,,C/V\.'C/V\.C/(e)\
585,137,1,assez,assez,2398,41,Adv,Adv,assez,/V\.'C/V\
586,137,2,tost,tost,2399,41,Adv,Adv,tôt,C/V\
587,137,3,la,la,2400,41,Prn,Prn$$,le,C/V\
588,137,4,prendroit,prendroit,2401,41,Vfin,Vfin,prendre,C/V\.'C/V\
589,138,1,assez,assez,2403,42,Adv,Adv,assez,/V\.'C/V\
590,138,2,i,i,2404,42,Prn,Prn$$,y2,/V\
591,138,3,ot,ot,2405,42,Vfin,Vfin,avoir,/V\
592,138,4,paroles,paroles,2406,42,N,N,,C/V\.'C/V\.C/e\
593,139,1,et,et,2433,42,Crd,Crd,et,/V\
594,139,2,li,li,2434,42,Det,Det,le,C/V\
595,139,3,message,message,2435,42,N,N,,C/V\.'C/V\.C/(e)\
596,139,4,eslit,eslit,2436,42,Vpp,Vpp,élire,/V\.'C/V\
597,140,1,et,et,2437,42,Crd,Crd,et,/V\
598,140,2,fu,fu,2438,42,Vfin,Vfin,être,C/V\
599,140,3,envoiez,envoiez,2439,42,Vpp,Vpp,envoyer,/V\.C/V\.'C/V\
600,140,4,querre,querre,2440,42,Vinf,Vinf,quérir,'C/V\.C/(e)\
601,141,1,que,que,2446,42,Qux,Qux,que,C/(e)\
602,141,2,il,il,2447,42,Prn,Prn$,il,/V\
603,141,3,li,li,2448,42,Prn,Prn$$,li,C/V\
604,141,4,orent,orent,2449,42,Vfin,Vfin,avoir,'/V\.C/e\
605,141,5,mis,mis,2450,42,Vpp,Vpp,mettre,C/V\
606,142,1,et,et,2461,42,Crd,Crd,et,/V\
607,142,2,par,par,2462,42,Pre,Pre,par,C/V\
608,142,3,le,le,2463,42,Det,Det,le,C/(e)\
609,142,4,roi,roi,2464,42,N,N,,C/V\
610,142,5,de,de,2465,42,Pre,Pre,de,C/(e)\
611,142,6,france,france,2466,42,N,N,,'C/V\.C/(e)\
612,143,1,de,de,2465,42,Pre,Pre,de,C/(e)\
613,143,2,france,france,2466,42,N,N,,'C/V\.C/(e)\
614,143,3,cui,cui,2467,42,Qux,Qux,cui,C/V\
615,143,4,cusin,cusin,2468,42,N,N,,C/V\.'C/V\
616,144,1,a,a,2476,43,Pre,Pre,à,/V\
617,144,2,soissons,soissons,2477,43,N,N,,C/V\.'C/V\
618,144,3,qui,qui,2478,43,Qux,Qux,qui,C/V\
619,144,4,nomez,nomez,2479,43,Vpp,Vpp,,C/V\.'C/V\
620,145,1,si,si,2512,43,Adv,Adv,si4,C/V\
621,145,2,fu,fu,2513,43,Vfin,Vfin,être,C/V\
622,145,3,li,li,2514,43,Det,Det,le,C/V\
623,145,4,parlemenz,parlemenz,2515,43,N,N,,C/V\.C/e\.'C/V\
624,146,1,et,et,2536,43,Crd,Crd,et,/V\
625,146,2,li,li,2537,43,Prn,Prn$$,li,C/V\
626,146,3,prient,prient,2538,43,Vfin,Vfin,prier,'C/V\./e\
627,146,4,por,por,2539,43,Pre,Pre,pour,C/V\
628,146,5,dieu,dieu,2540,43,N,N,,C/V\
629,147,1,que,que,2541,43,Sub,Sub,que,C/(e)\
630,147,2,il,il,2542,43,Prn,Prn$,il,/V\
631,147,3,preingne,preingne,2543,43,Vfin,Vfin,prendre,'C/V\.C/(e)\
632,147,4,la,la,2544,43,Det,Det,le,C/V\
633,147,5,croiz,croiz,2545,43,N,N,,C/V\
634,148,1,et,et,2562,43,Crd,Crd,et,/V\
635,148,2,preigne,preigne,2563,43,Vfin,Vfin,prendre,'C/V\.C/(e)\
636,148,3,son,son,2564,43,Det,Det,son4,C/V\
637,148,4,avoir,avoir,2565,43,N,N,avoir2,/V\.'C/V\
638,149,1,ensi,ensi,2590,44,Adv,Adv,ainsi,/V\.'C/V\
639,149,2,fist,fist,2591,44,Vfin,Vfin,faire,C/V\
640,149,3,li,li,2592,44,Det,Det,le,C/V\
641,149,4,marchis,marchis,2593,44,N,N,,C/V\.'C/V\
642,150,1,maintenant,maintenant,2603,44,Adv,Adv,maintenant,C/V\.C/e\.'C/V\
643,150,2,li,li,2604,44,Det,Det,le,C/V\
644,150,3,evesques,evesques,2605,44,N,N,,/V\.'C/V\.C/e\
645,151,1,l,l,2626,44,Prn,Prn$$,le,C/\
646,151,2,enmainent,enmainent,2627,44,Vfin,Vfin,emmener,/V\.'C/V\.C/e\
647,151,3,a,a,2628,44,Pre,Pre,à,/V\
648,151,4,l,l,2629,44,Det,Det,le,C/\
649,151,5,yglise,yglise,2630,44,N,N,,/V\.'C/V\.C/(e)\
650,152,1,por,por,2651,44,Pre,Pre,pour,C/V\
651,152,2,raler,raler,2652,44,Vinf,Vinf,raller,C/V\.'C/V\
652,152,3,en,en,2653,44,Pre,Pre,en,/V\
653,152,4,son,son,2654,44,Det,Det,son4,C/V\
654,152,5,pais,pais,2655,44,N,N,,C/V\
655,153,1,al,al,2681,45,Pre+Det,Pre+Det,à.le,/V\
656,153,2,capitre,capitre,2682,45,N,N,,C/V\.'C/V\.C/(e)\
657,153,3,a,a,2683,45,Pre,Pre,à,/V\
658,153,4,cystials,cystials,2684,45,N,N,,C/V\.'C/V\
659,154,1,i,i,2711,45,Prn,Prn$$,y2,/V\
660,154,2,ala,ala,2712,45,Vfin,Vfin,aller,/V\.'C/V\
661,154,3,por,por,2713,45,Pre,Pre,pour,C/V\
662,154,4,parler,parler,2714,45,Vinf,Vinf,parler,C/V\.'C/V\
663,155,1,et,et,2725,45,Crd,Crd,et,/V\
664,155,2,guillealmes,guillealmes,2726,45,N,N,,C/V\.'C/V\.C/e\
665,155,3,ses,ses,2727,45,Det,Det,son4,C/V\
666,155,4,freres,freres,2728,45,N,N,,'C/V\.C/e\
667,156,1,oedes,oedes,2732,45,N,N,,'/V\.C/e\
668,156,2,ses,ses,2733,45,Det,Det,son4,C/V\
669,156,3,freres,freres,2734,45,N,N,,'C/V\.C/e\
670,156,4,guis,guis,2735,45,N,N,,C/V\
671,157,1,hainmes,hainmes,2738,45,N,N,,'C/V\.C/e\
672,157,2,ses,ses,2739,45,Det,Det,son4,C/V\
673,157,3,freres,freres,2740,45,N,N,,'C/V\.C/e\
674,157,4,guis,guis,2741,45,N,N,,C/V\
675,158,1,et,et,2744,45,Crd,Crd,et,/V\
676,158,2,maintes,maintes,2745,45,QIs,QIs,maint,'C/V\.C/e\
677,158,3,bones,bones,2746,45,Adj,Adj,bon,'C/V\.C/e\
678,158,4,genz,genz,2747,45,N,N,,C/V\
679,159,1,ne,ne,2753,45,Neg,Neg$$,ne,C/(e)\
680,159,2,sont,sont,2754,45,Vfin,Vfin,être,C/V\
681,159,3,mie,mie,2755,45,Neg,Neg,mie3,'C/V\./(e)\
682,159,4,en,en,2756,45,Pre,Pre,en,/V\
683,159,5,escrit,escrit,2757,45,N,N,,/V\.'C/V\
684,160,1,d,d,2763,45,Pre,Pre,de,C/\
685,160,2,ostun,ostun,2764,45,N,N,,/V\.'C/V\
686,160,3,guigues,guigues,2765,45,N,N,,'C/V\.C/e\
687,160,4,li,li,2766,45,Det,Det,le,C/V\
688,160,5,cuens,cuens,2767,45,N,N,,C/V\
689,161,1,le,le,2773,45,Det,Det,le,C/(e)\
690,161,2,pere,pere,2774,45,N,N,,'C/V\.C/(e)\
691,161,3,et,et,2775,45,Crd,Crd,et,/V\
692,161,4,le,le,2776,45,Det,Det,le,C/(e)\
693,161,5,fil,fil,2777,45,N,N,,C/V\
694,161,6,huges,huges,2778,45,N,N,,'C/V\.C/e\
695,162,1,huges,huges,2778,45,N,N,,'C/V\.C/e\
696,162,2,de,de,2779,45,Pre,Pre,de,C/(e)\
697,162,3,colemi,colemi,2780,45,N,N,,C/V\.C/e\.'C/V\
698,163,1,parmi,parmi,2802,46,PrA,PrA,parmi,C/V\.'C/V\
699,163,2,totes,totes,2803,46,QIs,QIs,tout,'C/V\.C/e\
700,163,3,les,les,2804,46,Det,Det,le,C/V\
701,163,4,terres,terres,2805,46,N,N,,'C/V\.C/e\
702,164,1,lor,lor,2813,46,Prn,Prn$$,leur,C/V\
703,164,2,avint,avint,2814,46,Vfin,Vfin,avenir,/V\.'C/V\
704,164,3,el,el,2815,46,Pre+Det,Pre+Det,en.le,/V\
705,164,4,quaresme,quaresme,2816,46,N,N,,C/V\.'C/V\.C/(e)\
706,165,1,ensi,ensi,2870,46,Adv,Adv,ainsi,/V\.'C/V\
707,165,2,fina,fina,2871,46,Vfin,Vfin,finer,C/V\.'C/V\
708,165,3,li,li,2872,46,Det,Det,le,C/V\
709,165,4,cuens,cuens,2873,46,N,N,,C/V\
710,166,1,car,car,2884,46,Crd,Crd,car,C/V\
711,166,2,mult,mult,2885,46,QIs,QIs,moult,C/V\
712,166,3,ere,ere,2886,46,Vfin,Vfin,être,'/V\.C/(e)\
713,166,4,halz,halz,2887,46,Adj,Adj,haut,C/V\
714,166,5,ber,ber,2888,46,N,N,,C/V\
715,167,1,entor,entor,2905,47,PrA,PrA,entour,/V\.'C/V\
716,167,2,la,la,2906,47,Det,Det,le,C/V\
717,167,3,pentecoste,pentecoste,2907,47,N,N,,C/V\.C/e\.'C/V\.C/(e)\
718,168,1,de,de,2928,47,Pre,Pre,de,C/(e)\
719,168,2,lor,lor,2929,47,Det,Det,leur2,C/V\
720,168,3,pais,pais,2930,47,N,N,,C/V\
721,168,4,de,de,2931,47,Pre,Pre,de,C/(e)\
722,168,5,lor,lor,2932,47,Det,Det,leur2,C/V\
723,168,6,genz,genz,2933,47,N,N,,C/V\
724,169,1,u,u,2985,48,Qux,Qux,où,/V\
725,169,2,ot,ot,2986,48,Vfin,Vfin,avoir,/V\
726,169,3,mult,mult,2987,48,QIs,QIs,moult,C/V\
727,169,4,grant,grant,2988,48,Adj,Adj,grand,C/V\
728,169,5,plente,plenté,2989,48,N,N,,C/V\.'C/V\
729,170,1,de,de,2990,48,Pre,Pre,de,C/(e)\
730,170,2,bone,bone,2991,48,Adj,Adj,bon,'C/V\.C/(e)\
731,170,3,gent,gent,2992,48,N,N,,C/V\
732,170,4,armee,armee,2993,48,Vpp,Vpp,armer,/V\.'C/V\./(e)\
733,171,1,de,de,3014,48,Pre,Pre,de,C/(e)\
734,171,2,flandres,flandres,3015,48,N,N,,'C/V\.C/e\
735,171,3,et,et,3016,48,Crd,Crd,et,/V\
736,171,4,nicholes,nicholes,3017,48,N,N,,C/V\.'C/V\.C/e\
737,172,1,et,et,3026,48,Crd,Crd,et,/V\
738,172,2,jurerent,jurerent,3027,48,Vfin,Vfin,jurer,C/V\.'C/V\.C/e\
739,172,3,sor,sor,3028,48,PrA,PrA,sur,C/V\
740,172,4,sains,sains,3029,48,Adj,Adj,saint,C/V\
741,173,1,de,de,3043,48,Pre,Pre,de,C/(e)\
742,173,2,venise,venise,3044,48,N,N,,C/V\.'C/V\.C/(e)\
743,173,3,et,et,3045,48,Crd,Crd,et,/V\
744,173,4,a,a,3046,48,Pre,Pre,à,/V\
745,173,5,lui,lui,3047,48,Prn,Prn,lui,C/V\
746,174,1,que,que,3051,48,Sub,Sub,que,C/(e)\
747,174,2,il,il,3052,48,Prn,Prn$,il,/V\
748,174,3,oroient,oroient,3053,48,Vfin,Vfin,ouïr,/V\.'C/V\./e\
749,174,4,dire,dire,3054,48,Vinf,Vinf,dire,'C/V\.C/(e)\
750,175,1,de,de,3074,48,Pre,Pre,de,C/(e)\
751,175,2,dras,dras,3075,48,N,N,,C/V\
752,175,3,et,et,3076,48,Crd,Crd,et,/V\
753,175,4,de,de,3077,48,Pre,Pre,de,C/(e)\
754,175,5,viandes,viandes,3078,48,N,N,,C/V\.'C/V\.C/e\
