wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,chapter_id,NCA_lemma,NCA_src,syntag,syntag2,lemma,NCA_line,synfunc,NCA_taggerpos,syllabified
1,1,1,que,que,PROCON,61,5,que2|que3|que,T|S|C,Sub,Sub,que,151,,PROCON,C/(e)\
2,1,2,son,son,DET:poss:suj:masc:sg,62,5,son4|son,S|C,Det,Det,son4,151,,DET:poss,C/V\
3,1,3,chief,chief,NOM:suj:masc:sg,63,5,chief1|chief2,+IT|+T,N,N,,151,,NOM,C/V\
4,1,4,.,.,PON,64,5,.,,Pnc,Pnc,,151,,PON,
5,1,5,et,et,CON:coord,65,5,et,ST,Crd,Crd,et,152,,CON:coord,/V\
6,1,6,quant,quant,ADV,66,5,cant,CI,Qux,Qux,,152,,ADV,C/V\
7,1,7,ele,ele,PRO:pers:suj:3:femi:sg,67,5,ele|il,C|IST,Prn,Prn$,3p,152,s,PRO:pers,'/V\.C/(e)\
8,1,8,aloit,aloit,VER:impf:3:sg,68,5,aler,+IM,Vfin,Vfin,aller,152,,VER,/V\.'C/V\
9,2,1,pres,pres,ADV,74,5,près,IId,PrA,PrA,près,152,,ADV,C/V\
10,2,2,de,de,PRE,75,5,de,+CIST,Pre,Pre,de,152,,PRE,C/(e)\
11,2,3,terre,terre,NOM:obj:femi:sg,76,5,terre,+CIT,N,N,,152,,NOM,'C/V\.C/(e)\
12,2,4,pie,pié,NOM:obj:masc:sg,77,5,pie,+T,N,N,,152,,NOM,C/V\
13,2,5,et,et,CON:coord,78,5,et,ST,Crd,Crd,et,152,,CON:coord,/V\
14,2,6,demi,demi,ADJ:obj:masc:sg,79,5,demi2|demi,+T|CI,Adj,Adj,demi,152,,ADJ,C/V\.'C/V\
15,3,1,de,de,PRE,91,5,de,+CIST,Pre,Pre,de,152,,PRE,C/(e)\
16,3,2,pie,pié,NOM:obj:masc:sg,92,5,pie,+T,N,N,,152,,NOM,C/V\
17,3,3,et,et,CON:coord,93,5,et,ST,Crd,Crd,et,152,,CON:coord,/V\
18,3,4,demi,demi,ADJ:obj:masc:sg,94,5,demi2|demi,+T|CI,Adj,Adj,demi,152,,ADJ,C/V\.'C/V\
19,3,5,de,de,PRE,95,5,de,+CIST,Pre,Pre,de,152,,PRE,C/(e)\
20,3,6,longueur,longueur,NOM:obj:femi:sg,96,5,longor,+Z,N,N,,152,,NOM,C/V\.'C/V\
21,4,1,par,par,PRE,109,5,par,CIS,Pre,Pre,par1,153,,PRE,C/V\
22,4,2,terre,terre,NOM:obj:femi:sg,110,5,terre,+CIT,N,N,,153,,NOM,'C/V\.C/(e)\
23,4,3,et,et,CON:coord,111,5,et,ST,Crd,Crd,et,153,,CON:coord,/V\
24,4,4,non,non,ADV,112,5,ne1,+Z,Neg,Neg,non,153,,ADV,C/V\
25,4,5,mie,mie,ADV,113,5,mie,C,Neg,Neg,mie3,153,,ADV,'C/V\./(e)\
26,4,6,as,as,PREDET:a:obj:masc:pl,114,5,a+le|le,S|C,Pre+Det,Pre+Det,à+le,153,,PREDET:a,/V\
27,4,7,jenouz,jenouz,NOM:obj:masc:pl,115,5,UNKNOWN,,N,N,,153,,NOM,C/V\.'C/V\
28,5,1,la,la,PRO:pers:acc:3:femi:sg,128,5,ele|il,C|IST,Prn,Prn$$,3p,153,c,PRO:pers,C/V\
29,5,2,veoient,veoient,VER:impf:3:pl,129,5,vëoir,+I,Vfin,Vfin,voir1,153,,VER,C/(V)\.'/V\./e\
30,5,3,",",",",PON,130,5,",",,Pnc,Pnc,,153,,PON,
31,5,4,il,il,PRO:pers:suj:3:masc:pl,131,5,il,CIST,Prn,Prn$,3p,153,s,PRO:pers,/V\
32,5,5,s,s,PROCON,132,5,se,C,Prn,Prn$$,soi,153,,PROCON,C/\
33,5,6,enfuioient,enfuioient,VER:impf:3:pl,133,5,fuir,+Z,Vfin,Vfin,enfuir,153,,VER,/V\.C/V\.'C/V\./e\
34,6,1,le,le,DET:def:obj:masc:sg,140,5,le,CST,Det,Det,le,154,,DET:def,C/(e)\
35,6,2,ciel,ciel,NOM:obj:masc:sg,141,5,ciel,+IT,N,N,,154,,NOM,C/V\
36,6,3,ou,ou,PROCON,142,5,o|où,C|Td,Crd,Crd,ou1,154,,PROCON,/V\
37,6,4,aucune,aucune,DET:ind:obj:femi:sg,143,5,aucun,CS,QIs,QIs,aucun,154,,DET:ind,/V\.'C/V\.C/(e)\
38,6,5,persone,persone,NOM:obj:femi:sg,144,5,persone,+CT,N,N,,154,,NOM,C/V\.'C/V\.C/(e)\
39,7,1,pour,pour,PRE,157,5,por2|por,+ST|C,Pre,Pre,pour,154,,PRE,C/V\
40,7,2,ce,ce,PRO:invar,158,5,ce1|ce,S|C,Prn,Prn,ce1,154,,PRO:invar,C/(e)\
41,7,3,que,que,PROCON,159,5,que2|que3|que,T|S|C,Qux,Qux,que,154,,PROCON,C/(e)\
42,7,4,ele,ele,PRO:pers:suj:3:femi:sg,160,5,ele|il,C|IST,Prn,Prn$,3p,154,s,PRO:pers,'/V\.C/(e)\
43,7,5,peust,peust,VER:subi:3:sg,161,5,paistre|pöoir,+MMd|+Id,Vfin,Vfin,pouvoir2,154,,VER,C/(V)\.'/V\
44,7,6,veoir,veoir,VER:infi,162,5,vëoir,+IIdTd,Vinf,Vinf,voir1,154,,VER,C/(V)\.'/V\
45,8,1,vint,vint,VER:simp:3:sg,227,5,venir|voir,+CI|M,Vfin,Vfin,venir,156,,VER,C/V\
46,8,2,ensement,ensement,ADV,228,5,ensement,+IT,Adv,Adv,ensement,156,,ADV,/V\.C/e\.'C/V\
47,8,3,au,au,PREDET:a:obj:masc:sg,229,5,a+le|le,S|C,Pre+Det,Pre+Det,à+le,156,,PREDET:a,/V\
48,8,4,dit,dit,VER:pper:masc:sg,230,5,dire,+CMI,Vpp,Vpp,dire,156,,VER,C/V\
49,8,5,tombel,tombel,NOM:obj:masc:sg,231,5,tombel,+T,N,N,,156,,NOM,C/V\.'C/V\
50,9,1,vousist,vousist,VER:subi:3:sg,247,5,voloir,+I,Vfin,Vfin,vouloir,157,,VER,C/V\.'C/V\
51,9,2,venir,venir,VER:infi,248,5,venir,+IT,Vinf,Vinf,venir,157,,VER,C/V\.'C/V\
52,9,3,au,au,PREDET:a:obj:masc:sg,249,5,a+le|le,S|C,Pre+Det,Pre+Det,à+le,157,,PREDET:a,/V\
53,9,4,dit,dit,VER:pper:masc:sg,250,5,dire,+CMI,Vpp,Vpp,dire,157,,VER,C/V\
54,9,5,tombel,tombel,NOM:obj:masc:sg,251,5,tombel,+T,N,N,,157,,NOM,C/V\.'C/V\
55,10,1,ala,ala,VER:simp:3:sg,256,5,aler,+CIM,Vfin,Vfin,aller,157,,VER,/V\.'C/V\
56,10,2,a,a,PRE,257,5,a3|a,+T|CGIS,Pre,Pre,à,157,,PRE,/V\
57,10,3,la,la,DET:def:obj:femi:sg,258,5,le,CST,Det,Det,le,157,,DET:def,C/V\
58,10,4,meson,meson,NOM:obj:femi:sg,259,5,maison,+C,N,N,,157,,NOM,C/V\.'C/V\
59,10,5,thoumas,thoumas,NPR:obj:masc:sg,260,5,thomas,Z,N,N,,157,,NPR,C/V\.'C/V\
60,11,1,mon,mon,DET:poss:suj:masc:sg,350,5,mon1|mon,S|C,Det,Det,mon1,159,,DET:poss,C/V\
61,11,2,seigneur,seigneur,NOM:suj:masc:sg,351,5,seignor,+CI,N,N,,159,,NOM,C/V\.'C/V\
62,11,3,saint,saint,ADJ:suj:masc:sg,352,5,saint1|saint,T|CI,N,N,,159,,ADJ,C/V\
63,11,4,loys,loys,NPR:suj:masc:sg,353,5,louis,Z,N,N,,159,,NPR,C/V\
64,11,5,",",",",PON,354,5,",",,Pnc,Pnc,,159,,PON,
65,11,6,ayde,ayde,VER:impe:2:sg,355,5,aie,C,Vfin,Vfin,aider,159,,NOM,'/V\.C/(e)\
66,11,7,moi,moi,PRO:pers:obj:1:sg:bet,356,5,je|moi,S|CT,Prn,Prn,1ps,159,c,PRO:pers,C/V\
67,12,1,ayde,ayde,VER:impe:2:sg,355,5,aie,C,Vfin,Vfin,aider,159,,NOM,'/V\.C/(e)\
68,12,2,moi,moi,PRO:pers:obj:1:sg:bet,356,5,je|moi,S|CT,Prn,Prn,1ps,159,c,PRO:pers,C/V\
69,12,3,et,et,CON:coord,357,5,et,ST,Crd,Crd,et,159,,CON:coord,/V\
70,12,4,me,me,PRO:pers:obj:1:sg:unb,358,5,je|moi,IS|T,Prn,Prn$$,1ps,159,,PRO:pers,C/(e)\
71,12,5,rent,rent,VER:impe:2:sg,359,5,rendre,+IM,Vfin,Vfin,rendre,159,,VER,C/V\
72,12,6,sante,santé,NOM:obj:femi:sg,360,5,sente2,+I,N,N,,159,c,NOM,C/V\.'C/V\
73,13,1,a,a,PRE,396,5,a3|a,+T|CGIS,Pre,Pre,à,160,,PRE,/V\
74,13,2,un,un,DET:ndf:obj:masc:sg,397,5,un,CS,QIs,QIs,un,160,,DET:ndf,/V\
75,13,3,tabernacle,tabernacle,NOM:obj:masc:sg,398,5,tabernacle,+T,N,N,,160,,NOM,C/V\.C/e\.'C/V\.C/(e)\
76,13,4,de,de,PRE,399,5,de,+CIST,Pre,Pre,de,160,,PRE,C/(e)\
77,13,5,fust,fust,NOM:obj:masc:sg,400,5,estre1|fuster,+I|+M,N,N,,160,,VER,C/V\
78,14,1,la,la,DET:def:suj:femi:sg,467,5,ele|il,C|IST,Det,Det,le,162,,PRO:pers,C/V\
79,14,2,dite,dite,VER:pper:femi:sg,468,5,dire,+CIM,Vpp,Vpp,dire,162,,VER,'C/V\.C/(e)\
80,14,3,amelot,amelot,NPR:suj:femi:sg,469,5,amelot,Z,N,N,,162,,NPR,/V\.C/e\.'C/V\
81,14,4,ala,ala,VER:simp:3:sg,470,5,aler,+CIM,Vfin,Vfin,aller,162,,VER,/V\.'C/V\
82,14,5,droite,droite,ADJ:suj:femi:sg,471,5,droit2|droit,C|I,Adj,Adj,droit2,162,,ADJ,'C/V\.C/(e)\
83,15,1,seur,seur,PRE,472,5,sor2|sor,+ST|C,PrA,PrA,sur,162,,PRE,C/V\
84,15,2,ses,ses,DET:poss:obj:masc:pl,473,5,son4|son,S|C,Det,Det,son4,162,,DET:poss,C/V\
85,15,3,piez,piez,NOM:obj:masc:pl,474,5,pie|pié,+C|+I,N,N,,162,,NOM,C/V\
86,15,4,par,par,PRE,475,5,par,CIS,Pre,Pre,par1,162,,PRE,C/V\
87,15,5,soi,soi,PRO:pers:obj:3:masc:sg:bet,476,5,soi1|soi,S|C,Prn,Prn,soi,162,,PRO:pers,C/V\
88,15,6,par,par,PRE,477,5,par,CIS,Pre,Pre,par1,162,,PRE,C/V\
89,15,7,l,l',DET:def:obj:femi:sg,478,5,le,CS,Det,Det,le,162,,DET:def,C/\
90,15,8,eglise,eglise,NOM:obj:femi:sg,479,5,eglise,+CIT,N,N,,162,,NOM,/V\.'C/V\.C/(e)\
91,16,1,corurent,corurent,VER:simp:3:pl,490,5,corir|corre|courir|cure,+M|M|M|M,Vfin,Vfin,courir,163,,VER,C/V\.'C/V\.C/e\
92,16,2,veoir,veoir,VER:infi,491,5,vëoir,+IIdTd,Vinf,Vinf,voir1,163,,VER,C/(V)\.'/V\
93,16,3,cel,cel,DET:demo:obj:masc:sg,492,5,cel,CS,Dem,Dem,cil,163,,DET:demo,C/V\
94,16,4,miracle,miracle,NOM:obj:masc:sg,493,5,miracle,+IT,N,N,,163,,NOM,C/V\.'C/V\.C/(e)\
95,17,1,et,et,CON:coord,574,5,et,ST,Crd,Crd,et,164,,CON:coord,/V\
96,17,2,portoit,portoit,VER:impf:3:sg,575,5,porter,+MI,Vfin,Vfin,porter,164,,VER,C/V\.'C/V\
97,17,3,souvent,souvent,ADV,576,5,sovent,*IT,Adv,Adv,souvent,164,,ADV,C/V\.'C/V\
98,17,4,un,un,DET:ndf:obj:masc:sg,577,5,un,CS,QIs,QIs,un,164,,DET:ndf,/V\
99,17,5,seel,seel,NOM:obj:masc:sg,578,5,sëel1|sëel2,+Td|+Td,N,N,,164,,NOM,C/(V)\.'/V\
100,18,1,d,d',PRE,580,5,de,+CS,Pre,Pre,de,164,,PRE,C/\
101,18,2,iaue,iaue,NOM:obj:femi:sg,581,5,aigue,+CIT,N,N,,164,,NOM,'/V\./(e)\
102,18,3,sus,sus,ADV,582,5,sus,I,PrA,PrA,sus,164,,ADV,C/V\
103,18,4,son,son,DET:poss:obj:masc:sg,583,5,son4|son,S|C,Det,Det,son4,164,,DET:poss,C/V\
104,18,5,chief,chief,NOM:obj:masc:sg,584,5,chief1|chief2,+IT|+T,N,N,,164,,NOM,C/V\
105,18,6,et,et,CON:coord,585,5,et,ST,Crd,Crd,et,164,,CON:coord,/V\
106,18,7,les,les,DET:def:obj:masc:pl,586,5,le,CST,Det,Det,le,164,,DET:def,C/V\
107,18,8,dras,dras,NOM:obj:masc:pl,587,5,drap,+I,N,N,,164,,NOM,C/V\
108,19,1,hommes,hommes,NOM:suj:masc:pl,630,5,ome,+C,N,N,,165,,NOM,'/V\.C/e\
109,19,2,et,et,CON:coord,631,5,et,ST,Crd,Crd,et,165,,CON:coord,/V\
110,19,3,femmes,femmes,NOM:suj:femi:pl,632,5,feme,+CI,N,N,,165,,NOM,'C/V\.C/e\
111,19,4,",",",",PON,633,5,",",,Pnc,Pnc,,165,,PON,
112,19,5,clers,clers,NOM:suj:masc:pl,634,5,clerc,+CI,N,N,,165,,NOM,C/V\
113,19,6,et,et,CON:coord,635,5,et,ST,Crd,Crd,et,165,,CON:coord,/V\
114,19,7,lais,lais,NOM:suj:masc:pl,636,5,lai1|lais|laz1,+I|+CT|+T,N,N,,165,,NOM,C/V\
115,20,1,et,et,CON:coord,631,5,et,ST,Crd,Crd,et,165,,CON:coord,/V\
116,20,2,femmes,femmes,NOM:suj:femi:pl,632,5,feme,+CI,N,N,,165,,NOM,'C/V\.C/e\
117,20,3,",",",",PON,633,5,",",,Pnc,Pnc,,165,,PON,
118,20,4,clers,clers,NOM:suj:masc:pl,634,5,clerc,+CI,N,N,,165,,NOM,C/V\
119,20,5,et,et,CON:coord,635,5,et,ST,Crd,Crd,et,165,,CON:coord,/V\
120,20,6,lais,lais,NOM:suj:masc:pl,636,5,lai1|lais|laz1,+I|+CT|+T,N,N,,165,,NOM,C/V\
121,20,7,et,et,CON:coord,637,5,et,ST,Crd,Crd,et,165,,CON:coord,/V\
122,20,8,moines,moines,NOM:suj:masc:pl,638,5,moine1|moine2,*+T|+T,N,N,,165,,NOM,'C/V\.C/e\
123,21,1,de,de,PRE,672,6,de,+CIST,Pre,Pre,de,166,,PRE,C/(e)\
124,21,2,grollei,grollei,NPR:obj:masc:sg,673,6,UNKNOWN,,N,N,,166,,NPR,C/V\.'C/V\
125,21,3,fu,fu,VER:simp:3:sg,674,6,estre1|estre,+I|CMI,Vfin,Vfin,être1|ester,166,,VER,C/V\
126,21,4,nee,nee,VER:pper:femi:sg,675,6,naistre|nasquir|nier,+IM|M|M,Vpp,Vpp,naître,166,,VER,'C/V\./(e)\
127,21,5,une,une,DET:ndf:suj:femi:sg,676,6,un,CS,QIs,QIs,un,166,,DET:ndf,'/V\.C/(e)\
128,21,6,fille,fille,NOM:suj:femi:sg,677,6,fille,+CIT,N,N,,166,,NOM,'C/V\.C/(e)\
129,22,1,nostre,nostre,DET:poss:suj:femi:sg,691,6,nostre,CS,Det,Det,notre,167,,DET:poss,'C/V\.C/(e)\
130,22,2,pucelete,pucelete,NOM:suj:femi:sg,692,6,pucelete,+IT,N,N,,167,,NOM,C/V\.C/e\.'C/V\.C/(e)\
131,22,3,ot,ot,VER:simp:3:sg,693,6,avoir|öir,+IM|+I,Vfin,Vfin,avoir1|ouïr,167,,VER,/V\
132,22,4,dis,dis,ADJ:card,694,6,dis1|dis,T|CI,QIs,QIs,10,167,,ADJ:card,C/V\
133,22,5,anz,anz,NOM:obj:masc:pl,695,6,an,+CI,N,N,,167,,NOM,/V\
134,23,1,en,en,PRE,696,6,en1|en,+IST|CI,Pre,Pre,en1,167,,PRE,/V\
135,23,2,l,l',DET:def:obj:masc:sg,697,6,le,CS,Det,Det,le,167,,DET:def,C/\
136,23,3,an,an,NOM:obj:masc:sg,698,6,an,+CIT,N,N,,167,,NOM,/V\
137,23,4,nostre,nostre,DET:poss:obj:masc:sg,699,6,nostre,CS,Det,Det,notre,167,,DET:poss,'C/V\.C/(e)\
138,23,5,seigneur,seigneur,NOM:obj:masc:sg,700,6,seignor,+CI,N,N,,167,,NOM,C/V\.'C/V\
139,23,6,mil,mil,ADJ:card,701,6,mil1|mil,T|CI,QIs,QIs,1000,167,,ADJ:card,C/V\
140,23,7,deus,deus,ADJ:card,702,6,deus,CIT,QIs,QIs,2,167,,ADJ:card,C/V\
141,24,1,nostre,nostre,DET:poss:obj:masc:sg,699,6,nostre,CS,Det,Det,notre,167,,DET:poss,'C/V\.C/(e)\
142,24,2,seigneur,seigneur,NOM:obj:masc:sg,700,6,seignor,+CI,N,N,,167,,NOM,C/V\.'C/V\
143,24,3,mil,mil,ADJ:card,701,6,mil1|mil,T|CI,QIs,QIs,1000,167,,ADJ:card,C/V\
144,24,4,deus,deus,ADJ:card,702,6,deus,CIT,QIs,QIs,2,167,,ADJ:card,C/V\
145,24,5,cens,cens,ADJ:card,703,6,cent,C,QIs,QIs,100,167,,ADJ:card,C/V\
146,24,6,quatre,quatre,ADJ:card,704,6,catre,CIT,QIs,QIs,4,167,,ADJ:card,'C/V\.C/(e)\
147,25,1,mil,mil,ADJ:card,701,6,mil1|mil,T|CI,QIs,QIs,1000,167,,ADJ:card,C/V\
148,25,2,deus,deus,ADJ:card,702,6,deus,CIT,QIs,QIs,2,167,,ADJ:card,C/V\
149,25,3,cens,cens,ADJ:card,703,6,cent,C,QIs,QIs,100,167,,ADJ:card,C/V\
150,25,4,quatre,quatre,ADJ:card,704,6,catre,CIT,QIs,QIs,4,167,,ADJ:card,'C/V\.C/(e)\
151,25,5,vinz,vinz,ADJ:card,705,6,vint,C,QIs,QIs,20,167,,ADJ:card,C/V\
152,25,6,et,et,CON:coord,706,6,et,ST,Crd,Crd,et,167,,CON:coord,/V\
153,25,7,.i.,.i.,ADJ:card,707,6,deus|ii,*I|C,QIs,QIs,1,167,,ADJ:card,/V\
154,26,1,aparut,aparut,VER:simp:3:sg,730,6,aparoir|paroir,+I|+M,Vfin,Vfin,aparoir|apparaître,167,,VER,/V\.C/V\.'C/V\
155,26,2,une,une,DET:ndf:suj:femi:sg,731,6,un,CS,QIs,QIs,un,167,,DET:ndf,'/V\.C/(e)\
156,26,3,tache,tache,NOM:suj:femi:sg,732,6,tache|tacre,+IT|+T,N,N,,167,,NOM,'C/V\.C/(e)\
157,26,4,rouge,rouge,ADJ:suj:femi:sg,733,6,roge,+T,Adj,Adj,,167,,ADJ,'C/V\.C/(e)\
158,27,1,crut,crut,VER:simp:3:sg,752,6,croire|croistre,+IM|+MI,Vfin,Vfin,croire|croître,168,,VER,C/V\
159,27,2,petit,petit,ADV,753,6,petit,+CIT,Adv,Adv,petit,168,,ADJ,C/V\.'C/V\
160,27,3,et,et,CON:coord,754,6,et,ST,Crd,Crd,et,168,,CON:coord,/V\
161,27,4,petit,petit,ADV,755,6,petit,+CIT,Adv,Adv,petit,168,,ADJ,C/V\.'C/V\
162,27,5,",",",",PON,756,6,",",,Pnc,Pnc,,168,,PON,
163,27,6,un,un,DET:ndf:obj:masc:sg,757,6,un,CS,QIs,QIs,un,168,,DET:ndf,/V\
164,27,7,jour,jour,NOM:obj:masc:sg,758,6,jor,+C,N,N,,168,,NOM,C/V\
165,28,1,que,que,PROCON,800,6,que2|que3|que,T|S|C,Sub,Sub,que,169,,PROCON,C/(e)\
166,28,2,du,du,PREDET:de:obj:masc:sg,801,6,de+le|le,S|C,Pre+Det,Pre+Det,de+le,169,,PREDET:de,C/V\
167,28,3,travers,travers,NOM:obj:masc:sg,802,6,travers,Z,N,N,,169,,NOM,C/V\.'C/V\
168,28,4,de,de,PRE,803,6,de,+CIST,Pre,Pre,de,169,,PRE,C/(e)\
169,28,5,celui,celui,DET:demo:obj:masc:sg,804,6,cel,CS,Dem,Dem,cil,169,,DET:demo,C/V\.'C/V\
170,28,6,oil,oil,NOM:obj:masc:sg,805,6,ueil,+IT,N,N,,169,,NOM,/V\
171,29,1,et,et,CON:coord,815,6,et,ST,Crd,Crd,et,169,,CON:coord,/V\
172,29,2,fust,fust,VER:subi:3:sg,816,6,estre1|fuster,+I|+M,Vfin,Vfin,être1|ester,169,,VER,C/V\
173,29,3,souslevee,souslevee,VER:pper:femi:sg,817,6,soslever,*+IT,Vpp,Vpp,soulever,169,,VER,C/V\.C/V\.'C/V\./(e)\
174,29,4,de,de,PRE,818,6,de,+CIST,Pre,Pre,de,169,,PRE,C/(e)\
175,29,5,l,l',DET:def:obj:masc:sg,819,6,le,CS,Det,Det,le,169,,DET:def,C/\
176,29,6,ueil,ueil,NOM:obj:masc:sg,820,6,euel|ueil,+T|+IT,N,N,,169,,NOM,/V\
177,30,1,de,de,PRE,826,6,de,+CIST,Pre,Pre,de,170,,PRE,C/(e)\
178,30,2,char,char,NOM:obj:femi:sg,827,6,char1|char2,+IT|+IT,N,N,,170,,NOM,C/V\
179,30,3,rouge,rouge,ADJ:suj:femi:sg,828,6,roge,+T,Adj,Adj,,170,,ADJ,'C/V\.C/(e)\
180,30,4,et,et,CON:coord,829,6,et,ST,Crd,Crd,et,170,,CON:coord,/V\
181,30,5,mole,mole,ADJ:suj:femi:sg,830,6,mol,I,Adj,Adj,,170,,ADJ,'C/V\.C/(e)\
182,30,6,a,a,PRE,831,6,a3|a,+T|CGIS,Pre,Pre,à,170,,PRE,/V\
183,30,7,maniere,maniere,NOM:obj:femi:sg,832,6,maniere,+CIT,N,N,,170,,NOM,C/V\.'C/V\.C/(e)\
184,31,1,et,et,CON:coord,829,6,et,ST,Crd,Crd,et,170,,CON:coord,/V\
185,31,2,mole,mole,ADJ:suj:femi:sg,830,6,mol,I,Adj,Adj,,170,,ADJ,'C/V\.C/(e)\
186,31,3,a,a,PRE,831,6,a3|a,+T|CGIS,Pre,Pre,à,170,,PRE,/V\
187,31,4,maniere,maniere,NOM:obj:femi:sg,832,6,maniere,+CIT,N,N,,170,,NOM,C/V\.'C/V\.C/(e)\
