wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,ch_id,verse_id,syntag,syntag2,lemma,syllabified
494,113,2,veie,veie,2140,8,2,29,N,N,,'C/V\./(e)\
495,113,3,del,del,2141,8,2,29,Pre+Det,Pre+Det,de.le,C/V\
496,113,4,talun,talun,2142,8,2,29,N,N,,C/V\.'C/V\
497,114,1,jol,jol,2219,8,2,30,Prn+Prn,Prn$+Prn$$,je.le,C/V\
498,114,2,glorifierai,glorifierai,2220,8,2,30,Vfin,Vfin,,C/V\.C/V\.C/V\.C/e\.'C/V\
499,115,1,é,e,2222,8,2,31,Crd,Crd,et,/V\
500,115,2,ki,ki,2223,8,2,31,Qux,Qux,qui,C/V\
501,115,3,mei,mei,2224,8,2,31,Prn,Prn$$,moi,C/V\
502,115,4,despirra,despirra,2225,8,2,31,Vfin,Vfin,dépire,C/V\.C/V\.'C/V\
503,116,1,jol,jol,2227,8,2,31,Prn+Prn,Prn$+Prn$$,je.le,C/V\
504,116,2,metrai,metrai,2228,8,2,31,Vfin,Vfin,mettre,C/V\.'C/V\
505,116,3,en,en,2229,8,2,31,Pre,Pre,en,/V\
506,116,4,despit,despit,2230,8,2,31,N,N,,C/V\.'C/V\
507,117,1,é,e,2237,8,2,31,Crd,Crd,et,/V\
508,117,2,colperai,colperai,2238,8,2,31,Vfin,Vfin,,C/V\.C/e\.'C/V\
509,117,3,tun,tun,2239,8,2,31,Det,Det,ton2,C/V\
510,117,4,braz,braz,2240,8,2,31,N,N,,C/V\
511,118,1,Le,le,2251,8,2,31,Det,Det,le,C/(e)\
512,118,2,braz,braz,2252,8,2,31,N,N,,C/V\
513,118,3,apele,apele,2253,8,2,31,Vfin,Vfin,appeler,/V\.'C/V\.C/(e)\
514,118,4,l',l',2254,8,2,31,Det,Det,le,C/\
515,118,5,arche,arche,2255,8,2,31,N,N,,'/V\.C/(e)\
516,119,1,é,e,2297,8,2,32,Crd,Crd,et,/V\
517,119,2,nen,nen,2298,8,2,32,Neg,Neg$$,ne,C/V\
518,119,3,iért,iert,2299,8,2,32,Vfin,Vfin,être,/V\
519,119,4,nuls,nuls,2300,8,2,32,QIs,QIs,nul,C/V\
520,119,5,evesches,evesches,2301,8,2,32,N,N,,/V\.'C/V\.C/e\
521,120,1,de,de,2314,8,2,33,Pre,Pre,de,C/(e)\
522,120,2,mun,mun,2315,8,2,33,Det,Det,mon,C/V\
523,120,3,autel,autel,2316,8,2,33,N,N,,/V\.'C/V\
524,120,4,",",",",2317,8,2,33,Pnc,Pnc,,
525,120,5,mais,mais,2318,8,2,33,Crd,Crd,mais,C/V\
526,120,6,çó,ço,2319,8,2,33,Prn,Prn,ce,C/V\
527,121,1,lur,lur,2327,8,2,33,Prn,Prn$$,leur,C/V\
528,121,2,defaillent,defaillent,2328,8,2,33,Vfin,Vfin,défaillir,C/V\.'C/V\.C/e\
529,121,3,par,par,2329,8,2,33,Pre,Pre,par,C/V\
530,121,4,plur,plur,2330,8,2,33,N,N,,C/V\
531,122,1,quant,quant,2335,8,2,33,Sub,Sub,quand,C/V\
532,122,2,verrunt,verrunt,2336,8,2,33,Vfin,Vfin,voir,C/V\.'C/V\
533,122,3,altre,altre,2337,8,2,33,Adj,Adj,autre,'/V\.C/(e)\
534,122,4,aveir,aveir,2338,8,2,33,Vinf,Vinf,avoir,/V\.'C/V\
535,123,1,aveir,aveir,2338,8,2,33,Vinf,Vinf,avoir,/V\.'C/V\
536,123,2,la,la,2339,8,2,33,Det,Det,le,C/V\
537,123,3,seignurie,seignurie,2340,8,2,33,N,N,,C/V\.C/V\.'C/V\./(e)\
538,124,1,Içó,iço,2360,8,2,33,Prn,Prn,ce,/V\.'C/V\
539,124,2,fud,fud,2361,8,2,33,Vfin,Vfin,être,C/V\
540,124,3,ácumpli,acumpli,2362,8,2,33,Vpp,Vpp,,/V\.C/V\.'C/V\
541,125,1,quant,quant,2363,8,2,33,Sub,Sub,quand,C/V\
542,125,2,Saül,saül,2364,8,2,33,N,N,,C/V\.'C/V\
543,125,3,fist,fist,2365,8,2,33,Vfin,Vfin,faire,C/V\
544,125,4,ocire,ocire,2366,8,2,33,Vinf,Vinf,occire,/V\.'C/V\.C/(e)\
545,126,1,fist,fist,2365,8,2,33,Vfin,Vfin,faire,C/V\
546,126,2,ocire,ocire,2366,8,2,33,Vinf,Vinf,occire,/V\.'C/V\.C/(e)\
547,126,3,en,en,2367,8,2,33,Pre,Pre,en,/V\
548,126,4,un,un,2368,8,2,33,QIs,QIs,un,/V\
549,126,5,jur,jur,2369,8,2,33,N,N,,C/V\
550,127,1,íçó,iço,2432,8,2,35,Prn,Prn,ce,/V\.'C/V\
551,127,2,que,que,2433,8,2,35,Qux,Qux,que,C/(e)\
552,127,3,á,a,2434,8,2,35,Pre,Pre,à,/V\
553,127,4,mun,mun,2435,8,2,35,Det,Det,mon,C/V\
554,127,5,pere,pere,2436,8,2,35,N,N,,'C/V\.C/(e)\
555,128,1,maisun,maisun,2447,8,2,35,N,N,,C/V\.'C/V\
556,128,2,de,de,2448,8,2,35,Pre,Pre,de,C/(e)\
557,128,3,lealte,lealté,2449,8,2,35,N,N,,C/V\.C/V\.'C/V\
558,129,1,é,e,2464,8,2,35,Crd,Crd,et,/V\
559,129,2,en,en,2465,8,2,35,Pre,Pre,en,/V\
560,129,3,prosperite,prosperité,2466,8,2,35,N,N,,C/V\.C/V\.C/V\.'C/V\
561,130,1,É,e,2470,8,2,36,Crd,Crd,et,/V\
562,130,2,si,si,2471,8,2,36,Adv,Adv,si4,C/V\
563,130,3,est,est,2472,8,2,36,Vfin,Vfin,être,/V\
564,130,4,á,a,2473,8,2,36,Pre,Pre,à,/V\
565,130,5,venir,venir,2474,8,2,36,Vinf,Vinf,venir,C/V\.'C/V\
566,131,1,é,e,2492,8,2,36,Crd,Crd,et,/V\
567,131,2,present,present,2493,8,2,36,N,N,,C/V\.'C/V\
568,131,3,é,e,2494,8,2,36,Crd,Crd,et,/V\
569,131,4,de,de,2495,8,2,36,Pre,Pre,de,C/(e)\
570,131,5,pain,pain,2496,8,2,36,N,N,,C/V\
571,132,1,é,e,2494,8,2,36,Crd,Crd,et,/V\
572,132,2,de,de,2495,8,2,36,Pre,Pre,de,C/(e)\
573,132,3,pain,pain,2496,8,2,36,N,N,,C/V\
574,132,4,é,e,2497,8,2,36,Crd,Crd,et,/V\
575,132,5,d',d',2498,8,2,36,Pre,Pre,de,C/\
576,132,6,argent,argent,2499,8,2,36,N,N,,/V\.'C/V\
577,133,1,receü,receu,2506,8,2,36,Vpp,Vpp,recevoir,C/V\.C/(V)\.'/V\
578,133,2,al,al,2507,8,2,36,Pre+Det,Pre+Det,à.le,/V\
579,133,3,servise,servise,2508,8,2,36,N,N,,C/V\.'C/V\.C/(e)\
580,134,1,Li,li,2520,9,3,1,Det,Det,le,C/V\
581,134,2,emfes,emfes,2521,9,3,1,N,N,,'/V\.C/e\
582,134,3,Samuel,samuel,2522,9,3,1,N,N,,C/V\.C/V\.'C/V\
583,135,1,é,e,2529,9,3,1,Crd,Crd,et,/V\
584,135,2,la,la,2530,9,3,1,Det,Det,le,C/V\
585,135,3,parole,parole,2531,9,3,1,N,N,,C/V\.'C/V\.C/(e)\
586,135,4,Deu,deu,2532,9,3,1,N,N,,C/V\
587,136,1,Avint,avint,2547,9,3,2,Vfin,Vfin,avenir,/V\.'C/V\
588,136,2,á,a,2548,9,3,2,Pre,Pre,à,/V\
589,136,3,une,une,2549,9,3,2,QIs,QIs,un,'/V\.C/(e)\
590,136,4,feiz,feiz,2550,9,3,2,N,N,,C/V\
591,137,1,ú,u,2585,9,3,2,Qux,Qux,où,/V\
592,137,2,l',l',2586,9,3,2,Det,Det,le,C/\
593,137,3,arche,arche,2587,9,3,2,N,N,,'/V\.C/(e)\
594,137,4,Deu,deu,2588,9,3,2,N,N,,C/V\
595,137,5,esteit,esteit,2589,9,3,2,Vfin,Vfin,être,/V\.'C/V\
596,138,1,é,e,2610,9,3,5,Crd,Crd,et,/V\
597,138,2,dist,dist,2611,9,3,5,Vfin,Vfin,dire,C/V\
598,138,3,:,:,2612,9,3,5,Pnc,Pnc,,
599,138,4,‘,‘,2613,9,3,5,Pnc,Pnc,,
600,138,5,Ci,ci,2614,9,3,5,Adv,Adv,ci,C/V\
601,138,6,sui,sui,2615,9,3,5,Vfin,Vfin,être,C/V\
602,138,7,venuz,venuz,2616,9,3,5,Vpp,Vpp,venir,C/V\.'C/V\
603,139,1,Nun,nun,2629,9,3,5,Neg,Neg$$,ne,C/V\
604,139,2,fis,fis,2630,9,3,5,Vfin,Vfin,faire,C/V\
605,139,3,",",",",2631,9,3,5,Pnc,Pnc,,
606,139,4,vá,va,2632,9,3,5,Vfin,Vfin,aller,C/V\
607,139,5,t',t',2633,9,3,5,Prn,Prn%%,te,C/\
608,139,6,en,en,2634,9,3,5,Prn,Prn%%,en2,/V\
609,139,7,dormir,dormir,2635,9,3,5,Vinf,Vinf,dormir,C/V\.'C/V\
610,140,1,de,de,2640,9,3,6,Pre,Pre,de,C/(e)\
611,140,2,rechief,rechief,2641,9,3,6,N,N,,C/V\.'C/V\
612,140,3,Samuel,samuel,2642,9,3,6,N,N,,C/V\.C/V\.'C/V\
613,141,1,Samuel,samuel,2642,9,3,6,N,N,,C/V\.C/V\.'C/V\
614,141,2,apela,apela,2643,9,3,6,Vfin,Vfin,appeler,/V\.C/e\.'C/V\
615,142,1,é,e,2645,9,3,6,Crd,Crd,et,/V\
616,142,2,Samuel,samuel,2646,9,3,6,N,N,,C/V\.C/V\.'C/V\
617,142,3,chalt,chalt,2647,9,3,6,Adj,Adj,chaud,C/V\
618,142,4,pas,pas,2648,9,3,6,N,N,,C/V\
619,143,1,leva,leva,2649,9,3,6,Vfin,Vfin,lever,C/V\.'C/V\
620,143,2,",",",",2650,9,3,6,Pnc,Pnc,,
621,143,3,vint,vint,2651,9,3,6,Vfin,Vfin,venir,C/V\
622,143,4,a,a,2652,9,3,6,Pre,Pre,à,/V\
623,143,5,l',l',2653,9,3,6,Det,Det,le,C/\
624,143,6,evesche,evesche,2654,9,3,6,N,N,,/V\.'C/V\.C/(e)\
625,144,1,ne,ne,2661,9,3,7,Neg,Neg$$,ne,C/(e)\
626,144,2,fud,fud,2662,9,3,7,Vfin,Vfin,être,C/V\
627,144,3,encore,encore,2663,9,3,7,Adv,Adv,encore,/V\.'C/V\.C/(e)\
628,144,4,á,a,2664,9,3,7,Pre,Pre,à,/V\
629,144,5,Deu,deu,2665,9,3,7,N,N,,C/V\
630,145,1,ne,ne,2668,9,3,7,Crd,Crd,ne2,C/(e)\
631,145,2,la,la,2669,9,3,7,Det,Det,le,C/V\
632,145,3,parole,parole,2670,9,3,7,N,N,,C/V\.'C/V\.C/(e)\
633,145,4,Deu,deu,2671,9,3,7,N,N,,C/V\
634,146,1,Respundi,respundi,2677,9,3,7,Vfin,Vfin,répondre,C/V\.C/V\.'C/V\
635,146,2,li,li,2678,9,3,7,Det,Det,le,C/V\
636,146,3,evesches,evesches,2679,9,3,7,N,N,,/V\.'C/V\.C/e\
637,147,1,Samuel,samuel,2696,9,3,8,N,N,,C/V\.C/V\.'C/V\
638,147,2,apela,apela,2697,9,3,8,Vfin,Vfin,appeler,/V\.C/e\.'C/V\
639,148,1,á,a,2702,9,3,8,Pre,Pre,à,/V\
640,148,2,Hely,hely,2703,9,3,8,N,N,,/V\.'C/V\
641,148,3,Samuel,samuel,2704,9,3,8,N,N,,C/V\.C/V\.'C/V\
642,149,1,Samuel,samuel,2704,9,3,8,N,N,,C/V\.C/V\.'C/V\
643,149,2,returna,returna,2705,9,3,8,Vfin,Vfin,retourner,C/V\.C/V\.'C/V\
644,150,1,que,que,2726,9,3,9,Sub,Sub,que,C/(e)\
645,150,2,Deu,deu,2727,9,3,9,N,N,,C/V\
646,150,3,out,out,2728,9,3,9,Vfin,Vfin,avoir,/V\
647,150,4,Samuel,samuel,2729,9,3,9,N,N,,C/V\.C/V\.'C/V\
648,151,1,t',t',2746,9,3,9,Prn,Prn$$,te,C/\
649,151,2,apele,apele,2747,9,3,9,Vfin,Vfin,appeler,/V\.'C/V\.C/(e)\
650,151,3,mais,mais,2748,9,3,9,Adv,Adv,mais,C/V\
651,151,4,",",",",2749,9,3,9,Pnc,Pnc,,
652,151,5,respund,respund,2750,9,3,9,Vfin,Vfin,répondre,C/V\.'C/V\
653,152,1,respund,respund,2750,9,3,9,Vfin,Vfin,répondre,C/V\.'C/V\
654,152,2,:,:,2751,9,3,9,Pnc,Pnc,,
655,152,3,«,«,2752,9,3,9,Pnc,Pnc,,
656,152,4,Parole,parole,2753,9,3,9,Vfin,Vfin,parler,C/V\.'C/V\.C/(e)\
657,152,5,",",",",2754,9,3,9,Pnc,Pnc,,
658,152,6,Sire,sire,2755,9,3,9,N,N,,'C/V\.C/(e)\
659,153,1,returna,returna,2769,9,3,9,Vfin,Vfin,retourner,C/V\.C/V\.'C/V\
660,153,2,é,e,2770,9,3,9,Crd,Crd,et,/V\
661,153,3,dormí,dormi,2771,9,3,9,Vfin,Vfin,dormir,C/V\.'C/V\
662,154,1,Samuel,samuel,2781,9,3,10,N,N,,C/V\.C/V\.'C/V\
663,154,2,!,!,2782,9,3,10,Pnc,Pnc,,
664,154,3,Samuel,samuel,2783,9,3,10,N,N,,C/V\.C/V\.'C/V\
665,155,1,á,a,2825,9,3,11,Pre,Pre,à,/V\
666,155,2,celui,celui,2826,9,3,11,Dem,Dem,cil,C/V\.'C/V\
667,155,3,qui,qui,2827,9,3,11,Qux,Qux,qui,C/V\
668,155,4,l',l',2828,9,3,11,Prn,Prn$$,le,C/\
669,155,5,orrad,orrad,2829,9,3,11,Vfin,Vfin,ouïr,/V\.'C/V\
670,156,1,é,e,2852,9,3,12,Crd,Crd,et,/V\
671,156,2,si,si,2853,9,3,12,Adv,Adv,si4,C/V\
672,156,3,l',l',2854,9,3,12,Prn,Prn$$,le,C/\
673,156,4,assummerai,assummerai,2855,9,3,12,Vfin,Vfin,,/V\.C/V\.C/e\.'C/V\
674,157,1,É,e,2886,9,3,14,Crd,Crd,et,/V\
675,157,2,pur,pur,2887,9,3,14,Pre,Pre,pour,C/V\
676,157,3,çó,ço,2888,9,3,14,Prn,Prn,ce,C/V\
677,157,4,ai,ai,2889,9,3,14,Vfin,Vfin,avoir,/V\
678,157,5,juré,juré,2890,9,3,14,Vpp,Vpp,jurer,C/V\.'C/V\
679,158,1,que,que,2896,9,3,14,Sub,Sub,que,C/(e)\
680,158,2,la,la,2897,9,3,14,Det,Det,le,C/V\
681,158,3,iniquite,iniquité,2898,9,3,14,N,N,,/V\.C/V\.C/V\.'C/V\
682,159,1,é,e,2918,9,3,15,Crd,Crd,et,/V\
683,159,2,cremeit,cremeit,2919,9,3,15,Vfin,Vfin,craindre,C/V\.'C/V\
684,159,3,á,a,2920,9,3,15,Pre,Pre,à,/V\
685,159,4,mustrer,mustrer,2921,9,3,15,Vinf,Vinf,montrer,C/V\.'C/V\
686,160,1,Mais,mais,2927,9,3,16,Crd,Crd,mais,C/V\
687,160,2,Hely,hely,2928,9,3,16,N,N,,/V\.'C/V\
688,160,3,l',l',2929,9,3,16,Prn,Prn$$,le,C/\
689,160,4,apela,apela,2930,9,3,16,Vfin,Vfin,appeler,/V\.C/e\.'C/V\
690,161,1,bel,bel,2939,9,3,16,Adj,Adj,beau,C/V\
691,161,2,fiz,fiz,2940,9,3,16,N,N,,C/V\
692,161,3,",",",",2941,9,3,16,Pnc,Pnc,,
693,161,4,quele,quele,2942,9,3,16,Qux,Qux,quel,'C/V\.C/(e)\
694,161,5,parole,parole,2943,9,3,16,N,N,,C/V\.'C/V\.C/(e)\
695,162,1,É,e,2961,9,3,16,Crd,Crd,et,/V\
696,162,2,si,si,2962,9,3,16,Sub,Sub,si3,C/V\
697,162,3,tu,tu,2963,9,3,16,Prn,Prn$,tu,C/V\
698,162,4,le,le,2964,9,3,16,Prn,Prn$$,le,C/(e)\
699,162,5,me,me,2965,9,3,16,Prn,Prn$$,me,C/(e)\
700,162,6,céiles,ceiles,2966,9,3,16,Vfin,Vfin,,'C/V\.C/e\
701,163,1,vienge,vienge,2970,9,3,16,Vfin,Vfin,venir,'C/V\.C/(e)\
702,163,2,sur,sur,2971,9,3,16,PrA,PrA,sur,C/V\
703,163,3,tei,tei,2972,9,3,16,Prn,Prn,toi,C/V\
704,163,4,que,que,2973,9,3,16,Sub,Sub,que,C/(e)\
705,163,5,Deu,deu,2974,9,3,16,N,N,,C/V\
706,164,1,respundi,respundi,2994,9,3,18,Vfin,Vfin,répondre,C/V\.C/V\.'C/V\
707,164,2,:,:,2995,9,3,18,Pnc,Pnc,,
708,164,3,‘,‘,2996,9,3,18,Pnc,Pnc,,
709,164,4,Sires,sires,2997,9,3,18,N,N,,'C/V\.C/e\
710,164,5,est,est,2998,9,3,18,Vfin,Vfin,être,/V\
711,165,1,Il,il,3000,9,3,18,Prn,Prn$,il,/V\
712,165,2,frad,frad,3001,9,3,18,Vfin,Vfin,faire,C/V\
713,165,3,que,que,3002,9,3,18,Qux,Qux,que,C/(e)\
714,165,4,bon,bon,3003,9,3,18,Adj,Adj,bon,C/V\
715,165,5,li,li,3004,9,3,18,Prn,Prn$$,li,C/V\
716,165,6,iert,iert,3005,9,3,18,Vfin,Vfin,être,/V\
717,166,1,É,e,3014,9,3,19,Crd,Crd,et,/V\
718,166,2,Deus,deus,3015,9,3,19,N,N,,C/V\
719,166,3,fud,fud,3016,9,3,19,Vfin,Vfin,être,C/V\
720,166,4,ovec,ovec,3017,9,3,19,PrA,PrA,avec,/V\.'C/V\
721,166,5,li,li,3018,9,3,19,Prn,Prn,li,C/V\
722,167,1,de,de,3034,9,3,20,Pre,Pre,de,C/(e)\
723,167,2,Israel,israel,3035,9,3,20,N,N,,/V\.C/V\.'C/V\
724,167,3,",",",",3036,9,3,20,Pnc,Pnc,,
725,167,4,des,dés,3037,9,3,20,Pre,Pre,dès,C/V\
726,167,5,Dan,dan,3038,9,3,20,N,N,,C/V\
727,168,1,cunut,cunut,3043,9,3,20,Vfin,Vfin,connaître,C/V\.'C/V\
728,168,2,que,que,3044,9,3,20,Sub,Sub,que,C/(e)\
729,168,3,Samuel,samuel,3045,9,3,20,N,N,,C/V\.C/V\.'C/V\
730,169,1,se,se,3061,9,3,21,Prn,Prn$$,se,C/(e)\
731,169,2,fud,fud,3062,9,3,21,Vfin,Vfin,être,C/V\
732,169,3,á,a,3063,9,3,21,Pre,Pre,à,/V\
733,169,4,Samuel,samuel,3064,9,3,21,N,N,,C/V\.C/V\.'C/V\
